timestamp,actual,predicted,error
2026-06-12 23:37:23.357178,4.0,-6.332915079879646,10.332915079879646
2026-06-12 23:37:23.687215,2.0,5.996157929939002,3.9961579299390024
2026-06-12 23:37:24.087543,8.0,7.144099785796502,0.8559002142034977
2026-06-12 23:37:24.551636,15.0,11.219825811190365,3.780174188809635
2026-06-12 23:37:25.010915,1.0,-0.6584193656780446,1.6584193656780446
2026-06-12 23:37:25.375788,5.0,9.543458179801917,4.543458179801917
2026-06-12 23:37:25.659742,4.0,7.667111327656521,3.667111327656521
2026-06-12 23:37:25.961917,24.0,13.123840286042206,10.876159713957794
2026-06-12 23:37:26.311023,1.0,3.6060824643843086,2.6060824643843086
2026-06-12 23:37:26.680772,4.0,8.23598862991797,4.235988629917969
2026-06-12 23:37:27.009861,2.0,5.816873558816731,3.816873558816731
2026-06-12 23:37:27.291885,4.0,3.0886736985802545,0.9113263014197455
2026-06-12 23:37:27.560364,2.0,3.8675199209087916,1.8675199209087916
2026-06-12 23:37:27.874474,12.0,8.36951313526438,3.6304868647356194
2026-06-12 23:37:28.149145,1.0,3.674176145192617,2.674176145192617
2026-06-12 23:37:28.392335,12.0,12.245654890054471,0.24565489005447105
2026-06-12 23:37:28.623118,1.0,7.227849703666253,6.227849703666253
2026-06-12 23:37:28.897112,1.0,4.136380072114051,3.1363800721140507
2026-06-12 23:37:29.313143,2.0,0.36355091341021595,1.636449086589784
2026-06-12 23:37:29.703451,12.0,5.354670778374316,6.645329221625684
